SECT_NAME,SECT_CODE,LIE_NAME,LIE_CODE,LI_NO,SDFKEY,SDFNAME
內湖區,6301000,金龍里,6301000013,002,6301000013002,金龍里2鄰
士林區,6301100,葫蘆里,6301100017,023,6301100017023,葫蘆里23鄰
士林區,6301100,葫東里,6301100018,007,6301100018007,葫東里7鄰
內湖區,6301000,西湖里,6301000001,028,6301000001028,西湖里28鄰
中山區,6300400,劍潭里,6300400013,011,6300400013011,劍潭里11鄰
中山區,6300400,北安里,6300400042,002,6300400042002,北安里2鄰
內湖區,6301000,秀湖里,6301000032,023,6301000032023,秀湖里23鄰
中山區,6300400,劍潭里,6300400013,001,6300400013001,劍潭里1鄰
中山區,6300400,北安里,6300400042,001,6300400042001,北安里1鄰
內湖區,6301000,麗山里,6301000038,013,6301000038013,麗山里13鄰
士林區,6301100,葫蘆里,6301100017,021,6301100017021,葫蘆里21鄰
士林區,6301100,葫蘆里,6301100017,011,6301100017011,葫蘆里11鄰
內湖區,6301000,金龍里,6301000013,003,6301000013003,金龍里3鄰
士林區,6301100,葫蘆里,6301100017,012,6301100017012,葫蘆里12鄰
內湖區,6301000,西湖里,6301000001,031,6301000001031,西湖里31鄰
士林區,6301100,百齡里,6301100011,027,6301100011027,百齡里27鄰
內湖區,6301000,西湖里,6301000001,030,6301000001030,西湖里30鄰
中山區,6300400,劍潭里,6300400013,005,6300400013005,劍潭里5鄰
中山區,6300400,成功里,6300400015,020,6300400015020,成功里20鄰
士林區,6301100,百齡里,6301100011,018,6301100011018,百齡里18鄰
內湖區,6301000,港華里,6301000008,018,6301000008018,港華里18鄰
內湖區,6301000,金龍里,6301000013,005,6301000013005,金龍里5鄰
士林區,6301100,葫蘆里,6301100017,024,6301100017024,葫蘆里24鄰
內湖區,6301000,秀湖里,6301000032,020,6301000032020,秀湖里20鄰
士林區,6301100,葫蘆里,6301100017,025,6301100017025,葫蘆里25鄰
內湖區,6301000,內湖里,6301000009,007,6301000009007,內湖里7鄰
內湖區,6301000,金龍里,6301000013,001,6301000013001,金龍里1鄰
內湖區,6301000,西湖里,6301000001,024,6301000001024,西湖里24鄰
內湖區,6301000,西康里,6301000002,015,6301000002015,西康里15鄰
士林區,6301100,百齡里,6301100011,026,6301100011026,百齡里26鄰
